Timestamp,Major,NotListedMajor,CreditHrs,GPA,Stress,Year,StudyHrs,GamingHrs,SleepHrs,GameSystem,GameGenre,Please enter some of your favorite games!,GameReason,GameStyle,GameHelp
2022/04/05 12:39:01 PM CDT,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,13,3.2,9,Junior,20-30 hours,10-20 hours,4-6 hours,PC,First-person shooters;Simulation;Survival;Horror;Strategy;Fighting,"Ready or not, Shadow of war, Souls-like",To Challenge Yourself (i.e You Play Dark Souls),Single-player gaming,Unsure
2022/04/05 12:39:39 PM CDT,Computer Science,,13,4,7,Sophomore,10-20 hours,0-5 hours,6-8 hours,PC;Switch,RPGs;Puzzle,,To Have Fun (i.e No particular reason),Single-player gaming,No
2022/04/05 12:40:06 PM CDT,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,16,4,7,Sophomore,5-10 hours,10-20 hours,6-8 hours,PlayStation;Mobile,First-person shooters;Strategy,"Call of Duty
Art of War Legions",To Relax (i.e Destress),Multi-Player (with a group) gaming,Unsure
2022/04/05 12:40:25 PM CDT,Computer Science,,16,3.95,6,Super-senior,30-40 hours,0-5 hours,6-8 hours,PC,First-person shooters;RPGs,"Assassin's Creed
Valorant
Overwatch",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/05 12:41:28 PM CDT,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,16,3.8,10,Sophomore,40+ hours,0-5 hours,0-4 hours,Mobile,Simulation;Puzzle,"Minecraft, Hayday, super hexagon",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/05 6:05:27 PM CDT,Computer Science,,13,4,5,Freshman,30-40 hours,0-5 hours,6-8 hours,PC;PlayStation,Action-adventure;RPGs;Strategy;Platformer;Fighting,"Persona 5 Royal, Nier Automata, God of War",To Have Fun (i.e No particular reason),Single-player gaming,Yes
2022/04/05 6:10:30 PM CDT,Computer Science,,12,3.7,7,Sophomore,30-40 hours,10-20 hours,4-6 hours,PC,First-person shooters;RPGs;Simulation;Sandbox;Racing,,Escapism,Single-player gaming,Yes
2022/04/07 12:29:34 AM CDT,Computer Science,,9,3.3,9,Sophomore,10-20 hours,10-20 hours,6-8 hours,PC;Switch;Mobile,First-person shooters;Action-adventure;Simulation;Platformer,"Celeste, Breath of the Wild, The Sims 4, Minecraft, Fortnite, City Skylines, Pokemon Go",To Have Fun (i.e No particular reason),Single-player gaming,No
2022/04/07 4:58:14 PM CDT,Not Listed,Strategic Communication and Health Society & Policy,14,4,7,Sophomore,10-20 hours,0-5 hours,6-8 hours,Mobile,Puzzle;Strategy,Solitaire,To Relax (i.e Destress),Single-player gaming,Yes
2022/04/07 4:58:20 PM CDT,Physics,,16,3.14,7,Sophomore,20-30 hours,0-5 hours,6-8 hours,PC,First-person shooters;Action-adventure;Sandbox,Minecraft Desti y,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/07 6:22:31 PM CDT,"Medical (Nursing, Pharmacy, Dental, etc)",,14,3.7,7,Sophomore,10-20 hours,0-5 hours,6-8 hours,PC;Xbox;Mobile,First-person shooters;RPGs;Strategy;Trivia,"wordle, diablo",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/09 1:53:32 AM CDT,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,13,3.68,8,Senior,30-40 hours,5-10 hours,8-10 hours,PC;Switch,Action-adventure;RPGs;Arcade,,To Relax (i.e Destress),Single-player gaming,No
2022/04/09 1:53:38 AM CDT,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,13,3.8,10,Senior,30-40 hours,0-5 hours,0-4 hours,PC,"RPGs;Sandbox;Strategy;Not sure where world of warships fits, also simulation","world of warships, tiny tina's wonderlands, borderlands 3, MSFS 2020, automation empire",To Have Fun (i.e No particular reason),Multi-player (alone) gaming,Yes
2022/04/10 12:13:55 AM CDT,Computer Science,,17,3.9,7,Sophomore,20-30 hours,5-10 hours,6-8 hours,PC;Xbox;Mobile,First-person shooters;Simulation;Strategy,,To Relax (i.e Destress),Multi-player (alone) gaming,Yes
2022/04/10 2:48:09 PM CDT,Computer Science,,13,3.1,8,Senior,30-40 hours,10-20 hours,6-8 hours,PC,First-person shooters;RPGs,"Halo, Elden Ring",To Relax (i.e Destress),Multi-Player (with a group) gaming,No
2022/04/10 2:49:57 PM CDT,Business,,12,3.6,3,Junior,10-20 hours,0-5 hours,8-10 hours,PlayStation,Sports,FIFA 22,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/04/10 2:50:05 PM CDT,"Medical (Nursing, Pharmacy, Dental, etc)",,9,2.7,10,Junior,0-5 hours,0-5 hours,8-10 hours,Switch,Action-adventure;Racing,"Mario Kart, super Mario bros",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/04/10 2:50:07 PM CDT,Not Listed,ENVST,12,3.87,7,Senior,20-30 hours,0-5 hours,6-8 hours,I don’t have one ,I don’t play video games ,,I don’t play video games,Single-player gaming,Unsure
2022/04/10 2:50:56 PM CDT,"Medical (Nursing, Pharmacy, Dental, etc)",,17,3.75,4,Sophomore,10-20 hours,0-5 hours,10-12 hours,I don’t game,None,,Na,Multi-Player (with a group) gaming,Unsure
2022/04/10 2:51:00 PM CDT,Biology,,21,3.79,8,Sophomore,30-40 hours,0-5 hours,6-8 hours,I don’t game.,I don’t game.,,I don’t game.,Single-player gaming,No
2022/04/10 2:51:20 PM CDT,Biology,,13,3.7,7,Sophomore,10-20 hours,0-5 hours,6-8 hours,Xbox;Mobile,Puzzle;Trivia,,To Relax (i.e Destress),Single-player gaming,No
2022/04/10 2:52:06 PM CDT,"Medical (Nursing, Pharmacy, Dental, etc)",Health society and policy ,16,3.7,10,Sophomore,10-20 hours,0-5 hours,8-10 hours,Mobile,Puzzle;Sandbox;Racing;Sports,"Bubble buster, candel gift",To Have Fun (i.e No particular reason),Single-player gaming,No
2022/04/10 2:52:11 PM CDT,Computer Science,,19,3.5,6,Senior,10-20 hours,0-5 hours,6-8 hours,PC,First-person shooters;RPGs;Platformer,"Witcher, Skyrim, Ori",To Have Fun (i.e No particular reason),Single-player gaming,No
2022/04/10 2:52:16 PM CDT,"Medical (Nursing, Pharmacy, Dental, etc)",Kinesiology ,15,3.4,1,Junior,10-20 hours,10-20 hours,6-8 hours,Xbox,First-person shooters;Rocket league,Rocket league,To Rank Up (i.e Competitive Mode),Multi-Player (with a group) gaming,Unsure
2022/04/10 2:52:55 PM CDT,Not Listed,Kinesiology with emphasis in nuclear medicine ,12,3.4,7,Sophomore,20-30 hours,0-5 hours,6-8 hours,Don’t really play games ,Sports,NBA 2K,To Have Fun (i.e No particular reason),Single-player gaming,No
2022/04/10 2:53:07 PM CDT,"Medical (Nursing, Pharmacy, Dental, etc)",Kinesiology,20,3.6,6,Sophomore,20-30 hours,0-5 hours,6-8 hours,Mobile,Puzzle;Strategy;geoguesser,,To Relax (i.e Destress),Single-player gaming,No
2022/04/10 2:54:47 PM CDT,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,14,3.3,8,Senior,20-30 hours,0-5 hours,6-8 hours,Mobile,Puzzle;Trivia,"Sudoku, picture cross ",To Relax (i.e Destress),Single-player gaming,No
2022/04/10 2:54:49 PM CDT,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,17,3.3,10,Senior,30-40 hours,0-5 hours,6-8 hours,Xbox,First-person shooters,"COD, Apex and Forknife",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/10 2:54:49 PM CDT,Biology,,13,3.8,8,Senior,40+ hours,0-5 hours,6-8 hours,PlayStation;Switch,Action-adventure;RPGs;Strategy,"Final fantasy 15 & 7, super smash bros ",To Have Fun (i.e No particular reason),Single-player gaming,Unsure
2022/04/10 2:54:57 PM CDT,Business,,9,3.9,7,Senior,20-30 hours,0-5 hours,6-8 hours,Xbox,Hacky sack,Hacky sack,To Relax (i.e Destress),Multi-Player (with a group) gaming,Yes
2022/04/10 2:55:01 PM CDT,Not Listed,Psychology,13,3.2,7,Junior,20-30 hours,0-5 hours,6-8 hours,Switch;Mobile,Puzzle;Strategy,"Animal Crossing, phone games",To Have Fun (i.e No particular reason),Single-player gaming,No
2022/04/10 2:55:39 PM CDT,Biology,,16,4,8,Sophomore,20-30 hours,0-5 hours,6-8 hours,PC,Hacky Sack,Hacky sack 2.0,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Yes
2022/04/10 2:55:40 PM CDT,Games,,16,3.2,8,Freshman,10-20 hours,0-5 hours,4-6 hours,PC,First-person shooters;Action-adventure;RPGs;Survival;Horror;Strategy,"Valorant, League, Phasmophobia, Dead by Daylight, Friday the 13th, Golf with Friends, Resident Evil ",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Yes
2022/04/10 2:55:50 PM CDT,Computer Science,,13,3.9,7,Sophomore,10-20 hours,5-10 hours,6-8 hours,PlayStation,First-person shooters,"apex legends, warzone",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/10 2:57:01 PM CDT,Not Listed,Kinesiology ,12,3.934,5,Senior,10-20 hours,0-5 hours,8-10 hours,Mobile,Strategy;None,Chess,To Relax (i.e Destress),Single-player gaming,No
2022/04/10 2:57:02 PM CDT,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,13,3.6,8,Junior,20-30 hours,5-10 hours,6-8 hours,PlayStation,First-person shooters;Racing;Sports,,To Relax (i.e Destress),Multi-player (alone) gaming,Yes
2022/04/10 2:57:54 PM CDT,Not Listed,Modern Dance,18,3.98,5,Senior,20-30 hours,0-5 hours,6-8 hours,Retro console;Mobile,Puzzle;Racing;Trivia,"Super Mario, Crossword, Smash Bros Melee ",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/04/10 2:58:48 PM CDT,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,13,3.5,8,Freshman,10-20 hours,0-5 hours,0-4 hours,PlayStation,Sports,Fifa,To Have Fun (i.e No particular reason),Single-player gaming,No
2022/04/10 2:59:02 PM CDT,Business,,11,3,8,Senior,5-10 hours,0-5 hours,4-6 hours,Mobile,Puzzle;Trivia,,To Have Fun (i.e No particular reason),Single-player gaming,No
2022/04/10 2:59:16 PM CDT,Physics,,12,3.6,7,Senior,10-20 hours,5-10 hours,8-10 hours,Switch,Action-adventure;RPGs;Strategy;Platformer,"Hades, Hollow Knight, Dead Cells, Zelda",To Relax (i.e Destress),Single-player gaming,Unsure
2022/04/10 2:59:53 PM CDT,Not Listed,Communications ,14,3.8,4,Senior,20-30 hours,0-5 hours,4-6 hours,Switch,Action-adventure,"animal crossing, Mario kart, smash",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/10 3:00:28 PM CDT,Business,And information systems ,15,3.4,3,Senior,20-30 hours,10-20 hours,6-8 hours,PC;Xbox,First-person shooters;RPGs,"Fortnite, cod",To Relax (i.e Destress),Single-player gaming,Yes
2022/04/10 3:01:04 PM CDT,Computer Science,,13,3.3,4,Senior,10-20 hours,5-10 hours,6-8 hours,PC;PlayStation;Switch,First-person shooters;Action-adventure;RPGs;Simulation;Strategy;Sports,"Witcher 3
The Sims
Football Manager
Assassin's Creed 3",To Have Fun (i.e No particular reason),Single-player gaming,Yes
2022/04/10 3:01:20 PM CDT,Not Listed,Atmospheric Science ,15,2.9,7,Junior,5-10 hours,10-20 hours,8-10 hours,PC,First-person shooters;RPGs;Simulation;Racing;Strategy,,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/04/10 3:01:28 PM CDT,Not Listed,Anthropology & Ethnic Studies,19,3.7,10,Senior,10-20 hours,0-5 hours,6-8 hours,PC;PlayStation;Switch,Action-adventure;RPGs;Puzzle;Survival;Multiplayer games ,"Stardew Valley, MarioKart, Animal Crossing, Ori & the Blind Forest, Don’t Starve, Dead by Daylight",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/10 3:01:34 PM CDT,Not Listed,Atmospheric Science,14,3.6,8,Junior,10-20 hours,0-5 hours,6-8 hours,Mobile,Sports,"Fifa, Madden",To Relax (i.e Destress),Single-player gaming,No
2022/04/10 3:02:13 PM CDT,Not Listed,Anthropology & Health Society Policy,18,3.9,8,Senior,20-30 hours,0-5 hours,6-8 hours,PC,First-person shooters;Strategy,"Love hate, mostly hate League, TFT, phasmo, Stardew, DBD, ",Relax and have fun ,Multi-Player (with a group) gaming,No
2022/04/10 3:02:20 PM CDT,Not Listed,Geography,14,3.8,7,Junior,10-20 hours,5-10 hours,8-10 hours,Xbox;Mobile,First-person shooters,Rainbow six siege,To Have Fun (i.e No particular reason),Multi-player (alone) gaming,Unsure
2022/04/10 3:03:08 PM CDT,Computer Science,,14,2.9,10,Sophomore,20-30 hours,20-30 hours,6-8 hours,PC;PlayStation;Mobile,First-person shooters;Puzzle;Survival;Strategy;Sports,"Valorant, rocket league",To Relax (i.e Destress),Multi-Player (with a group) gaming,No
2022/04/10 3:03:10 PM CDT,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,3.65,8,Sophomore,20-30 hours,30-40 hours,6-8 hours,PC;Mobile,First-person shooters;Trivia,"valorant, trivia crack",relax and play with friends out of state,Multi-Player (with a group) gaming,Unsure
2022/04/10 3:03:45 PM CDT,Business,Finance,12,3.657,8,Sophomore,5-10 hours,0-5 hours,8-10 hours,Mobile,First-person shooters;Racing;Strategy;Fighting,"CoC, COD, Super Smash, Mario Kart",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/10 3:03:52 PM CDT,Business,Operations and Supply Chain,12,3.2,8,Sophomore,5-10 hours,0-5 hours,6-8 hours,Xbox,First-person shooters;Strategy;Sports;Fighting,"Madden, cod, Mario kart ",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/10 3:04:12 PM CDT,Business,,15,3.8,5,Freshman,5-10 hours,0-5 hours,6-8 hours,PC;Mobile,Puzzle;Strategy,"GTA, COD, Polytopia, chess, Skate 3",To Relax (i.e Destress),Single-player gaming,Unsure
2022/04/10 3:25:52 PM CDT,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,16,3.97,9,Sophomore,10-20 hours,0-5 hours,4-6 hours,PC,First-person shooters;Action-adventure;Strategy,League,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/10 3:30:46 PM CDT,Business,,14,3.4,6,Senior,10-20 hours,10-20 hours,8-10 hours,Xbox,First-person shooters;Sports,,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/10 4:13:22 PM CDT,Political Science,,18,3.9,4,Sophomore,5-10 hours,20-30 hours,4-6 hours,PC;Switch;Mobile,Action-adventure;Strategy;Platformer;MOBAs,"League of legends, Pokémon, Clash Royale ",To Rank Up (i.e Competitive Mode),Multi-Player (with a group) gaming,Yes
2022/04/11 12:13:30 PM CDT,Games,,12,3.6,9,Sophomore,5-10 hours,20-30 hours,8-10 hours,PC;PlayStation;Switch;Retro console,First-person shooters;Action-adventure;RPGs;Simulation;Puzzle;Sandbox;Survival;Horror;Racing;Strategy;Sports;Platformer;Fighting;Trivia,"Persona 5, FFVII, NieR Automata, Elden Ring, Celeste, Hades, Hollow Knight, Bloodborne",To Relax (i.e Destress),Single-player gaming,Yes
2022/04/11 12:24:20 PM CDT,Computer Science,,13,3.4,8,Junior,10-20 hours,10-20 hours,6-8 hours,PC,First-person shooters;Simulation;Strategy;VR Games,"Apex Legends, Valorant, VRChat, Squad",To Rank Up (i.e Competitive Mode),Multi-Player (with a group) gaming,Unsure
2022/04/11 4:43:08 PM CDT,Business,,14,3.5,8,Senior,0-5 hours,20-30 hours,8-10 hours,Xbox,First-person shooters;RPGs;Fighting;Fortnite,"Fortnite, Lego Star Wars, MLB The Show 22",To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,No
2022/04/11 5:52:30 PM CDT,Computer Science,,13,3.185,5,Junior,20-30 hours,20-30 hours,6-8 hours,PC,First-person shooters;RPGs;Sandbox;Survival;Strategy,"Rimworld, Disco Elysium, War Thunder, Tarkov, Kerbal Space Program",To Have Fun (i.e No particular reason),Single-player gaming,Unsure
2022/04/11 7:13:25 PM CDT,Games,,9,3.7,6,Super-senior,20-30 hours,5-10 hours,6-8 hours,PC;PlayStation,Action-adventure;RPGs;Puzzle,"Witcher (any), Elder Scrolls (any), Fallout (any), Borderlands (any), Horizon Zero Dawn, Horizon Forbidden West, God of War","Entertainment primarily, but also to study narrative, mechanics, etc.",Single-player gaming,Yes
